INCIDENTNEIGHBORHOOD,OFFENSES
South Side Flats,3503 Criminal Trespass
Point Breeze North,3934 Theft from Vehicle
Crafton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Homewood North,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Perry North,2709(a)(4) Harassment Communicates Prohibited Acts
Middle Hill,9496 Dead on Arrival (DOA)
Troy Hill,9489 Found Property
Squirrel Hill South,9992 Governor's Order Violation
Mount Oliver,2709(a) Harassment.
Homewood South,2709(a) Harassment.
Elliott,9999 9999 - (Misc. Incident): 
Bedford Dwellings,029 Missing Juvenile
Beechview,3304 Criminal Mischief.
Troy Hill,3802(a)(1) DUI - General Impairment
South Side Flats,9132 Noise Complaint - Citation / 601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A)
Homewood North,2709(a) Harassment.
Central Business District,3714 Careless Driving
East Hills,607.03 Discharging Firearm or Airgun
East Allegheny,9489 Found Property
East Allegheny,3714 Careless Driving
Upper Hill,3928 Unauthorized Use of Automobile and Other Vehicles.
Strip District,2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 607.03 Discharging Firearm or Airgun
Central Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
West Oakland,9999 9999 - (Misc. Incident): 
Bloomfield,9998 Overdose Other
North Oakland,"3301(f) Possession Incendiary/Explosive Material / 3301 Arson  / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means"
Polish Hill,2709 Harassment (Non-Specific)
Crawford-Roberts,3922 Theft by Deception.
Beechview,3921 Theft by Unlawful Taking or Disposition.
Elliott,9997 Overdose Death
Homewood South,2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Allentown,2706 Terroristic Threats.
Central Business District,9992 Governor's Order Violation
Ridgemont,9998 Overdose Other
Central Business District,9489 Found Property
East Hills,3934 Theft from Vehicle
