Census Tract,TotalPopulation,OwnedMortgage,OwnedFree,RenterOccupied
103,588,81,108,399
201,"2,538",304,168,"2,066"
203,616,47,13,556
305,"2,140",410,151,"1,579"
402,"1,345",297,142,906
404,"2,163",244,633,"1,286"
405,"2,958",92,128,"2,738"
406,"2,392",63,130,"2,199"
409,"2,877",591,385,"1,901"
501,"1,682",337,256,"1,089"
506,"2,057",735,429,893
509,"1,202",44,53,"1,105"
510,"1,307",57,49,"1,201"
511,"1,122",4,0,"1,118"
603,"2,319",635,308,"1,376"
605,"1,274",400,324,550
703,"2,067",557,221,"1,289"
705,"2,986",461,178,"2,347"
706,"2,069",458,251,"1,360"
708,"1,688",287,145,"1,256"
709,"4,388",878,467,"3,043"
802,"1,679",487,302,890
804,"1,369",274,149,946
806,"1,992",569,241,"1,182"
807,"1,696",281,80,"1,335"
809,"1,699",420,209,"1,070"
901,"1,834",527,322,985
902,"2,548",843,509,"1,196"
903,"1,629",457,237,935
1005,"2,031","1,175",349,507
1011,"2,664",614,492,"1,558"
1014,"3,341","1,660",594,"1,087"
1016,857,173,78,606
1017,"1,465",536,266,663
1018,"2,522","1,522",667,333
1102,"3,947","1,444",416,"2,087"
1106,"2,406","1,353",459,594
1113,"2,475",500,172,"1,803"
1114,"1,345",360,214,771
1115,"3,051",308,148,"2,595"
1203,"1,650",436,373,841
1204,869,194,192,483
1207,801,185,137,479
1208,703,169,159,375
1301,"1,910",373,314,"1,223"
1302,"1,370",442,313,615
1303,"1,139",269,161,709
1304,"1,188",250,211,727
1306,"3,169",804,515,"1,850"
1401,"2,553","1,275",650,628
1402,"2,189",708,323,"1,158"
1403,"3,432","1,427",649,"1,356"
1404,"2,306","1,396",545,365
1405,"2,039",606,209,"1,224"
1406,"2,985","1,634",547,804
1408,"4,550","1,873",735,"1,942"
1410,928,525,190,213
1411,"1,358",783,369,206
1413,"4,819","1,343",586,"2,890"
1414,"5,227","2,333",788,"2,106"
1516,"2,363","1,127",516,720
1517,"4,931","2,150",939,"1,842"
1608,"2,558",822,518,"1,218"
1609,"2,771",549,221,"2,001"
1702,"3,717","1,005",516,"2,196"
1706,"1,841",554,361,926
1803,"2,469",651,393,"1,425"
1807,"2,001",796,320,885
1903,"1,945",742,421,782
1911,"2,425","1,013",490,922
1914,"2,794",657,395,"1,742"
1915,"2,047",645,377,"1,025"
1916,"4,290","1,791",759,"1,740"
1917,"3,445","1,873",774,798
1918,"5,321","2,953","1,111","1,257"
1919,"2,154","1,040",400,714
1920,"3,591","1,609",617,"1,365"
2022,"2,568","1,137",523,908
2023,"3,981","1,569",800,"1,612"
2107,"2,126",711,270,"1,145"
2206,"1,712",466,159,"1,087"
