,hood,Number of Crimes
0,Central Oakland,23
1,North Oakland,32
2,West Oakland,9
3,Crawford-Roberts,21
4,Strip District,14
5,Central Business District,105
6,Spring Hill-City View,30
7,Perry South,42
8,Summer Hill,8
9,Northview Heights,9
10,Westwood,9
11,Beltzhoover,19
12,Central Lawrenceville,17
13,South Side Flats,57
14,Allentown,51
15,South Side Slopes,27
16,Bluff,36
17,Fineview,18
18,Hazelwood,42
19,Lincoln-Lemington-Belmar,33
20,East Hills,37
21,South Oakland,16
22,Mount Washington,55
23,Greenfield,27
24,Squirrel Hill South,56
25,Central Northside,19
26,Spring Garden,3
27,Troy Hill,13
28,East Allegheny,44
29,Stanton Heights,7
30,Lower Lawrenceville,17
31,Bloomfield,0
32,Carrick,60
33,Point Breeze,17
34,Duquesne Heights,6
35,Swisshelm Park,3
36,Highland Park,43
37,Garfield,28
38,Manchester,26
39,Upper Lawrenceville,16
40,Beechview,33
41,Brookline,73
42,Morningside,16
43,Larimer,24
44,North Shore,5
45,Bon Air,17
46,Banksville,11
47,Windgap,7
48,Friendship,8
49,Arlington,8
50,St. Clair,4
51,Mt. Oliver,0
52,Sheraden,50
53,South Shore,4
54,Allegheny West,1
55,Elliott,17
56,Shadyside,45
57,Knoxville,38
58,Allegheny Center,12
59,Brighton Heights,47
60,Crafton Heights,33
61,Polish Hill,7
62,Chateau,16
63,Arlington Heights,4
64,Squirrel Hill North,21
65,Terrace Village,12
66,Bedford Dwellings,27
67,Regent Square,2
68,Hays,5
69,Point Breeze North,33
70,Marshall-Shadeland,48
71,Lincoln Place,7
72,Overbrook,12
73,Homewood South,45
74,Homewood North,40
75,Homewood West,12
76,Oakwood,4
77,East Liberty,57
78,East Carnegie,4
79,New Homestead,2
80,Upper Hill,12
81,Middle Hill,24
82,Esplen,3
83,Fairywood,7
84,Chartiers City,4
85,Ridgemont,3
86,West End,11
87,California-Kirkbride,21
88,Glen Hazel,8
89,Perry North,34
